================ Training Loss (Mon Apr 21 02:02:41 2025) ================
(epoch: 1, iters: 100, time: 0.051, data: 0.823) G_GAN: 2.157 G_L1: 53.324 D_i_real: 0.985 D_i_fake: 0.837 D_v_real: 1.298 D_v_fake: 1.298 C_label: 2.582 
(epoch: 1, iters: 200, time: 0.053, data: 0.001) G_GAN: 2.209 G_L1: 40.672 D_i_real: 0.909 D_i_fake: 0.833 D_v_real: 1.113 D_v_fake: 1.057 C_label: 2.582 
(epoch: 1, iters: 300, time: 0.052, data: 0.002) G_GAN: 2.170 G_L1: 33.833 D_i_real: 0.780 D_i_fake: 0.800 D_v_real: 0.957 D_v_fake: 1.053 C_label: 2.582 
(epoch: 1, iters: 400, time: 0.061, data: 0.001) G_GAN: 1.912 G_L1: 29.663 D_i_real: 0.809 D_i_fake: 0.799 D_v_real: 0.887 D_v_fake: 0.822 C_label: 2.581 
(epoch: 1, iters: 500, time: 0.051, data: 0.002) G_GAN: 1.772 G_L1: 28.587 D_i_real: 0.623 D_i_fake: 0.685 D_v_real: 0.818 D_v_fake: 0.772 C_label: 2.583 
(epoch: 1, iters: 600, time: 0.052, data: 0.001) G_GAN: 1.744 G_L1: 26.213 D_i_real: 0.508 D_i_fake: 0.654 D_v_real: 0.765 D_v_fake: 0.861 C_label: 2.583 
(epoch: 1, iters: 700, time: 0.051, data: 0.002) G_GAN: 1.739 G_L1: 24.628 D_i_real: 0.553 D_i_fake: 0.663 D_v_real: 0.734 D_v_fake: 0.696 C_label: 2.581 
(epoch: 1, iters: 800, time: 0.058, data: 0.002) G_GAN: 1.744 G_L1: 25.393 D_i_real: 0.528 D_i_fake: 1.003 D_v_real: 0.704 D_v_fake: 0.946 C_label: 2.582 
(epoch: 1, iters: 900, time: 0.057, data: 0.001) G_GAN: 1.753 G_L1: 24.963 D_i_real: 0.633 D_i_fake: 0.763 D_v_real: 0.690 D_v_fake: 0.675 C_label: 2.582 
(epoch: 1, iters: 1000, time: 0.050, data: 0.001) G_GAN: 1.757 G_L1: 23.429 D_i_real: 0.711 D_i_fake: 0.761 D_v_real: 0.682 D_v_fake: 0.675 C_label: 2.583 
(epoch: 2, iters: 100, time: 0.051, data: 0.366) G_GAN: 1.768 G_L1: 24.147 D_i_real: 0.794 D_i_fake: 0.715 D_v_real: 0.691 D_v_fake: 0.662 C_label: 2.581 
