================ Training Loss (Sat Jun  7 22:49:25 2025) ================
================ Training Loss (Sun Jun  8 07:21:39 2025) ================
(epoch: 1, iters: 100, time: 0.248, data: 0.766) G_GAN: 2.257 G_L1: 71.212 D_i_real: 1.013 D_i_fake: 0.806 D_v_real: 1.312 D_v_fake: 1.336 C_label: 2.547 
(epoch: 1, iters: 200, time: 0.240, data: 0.003) G_GAN: 2.273 G_L1: 59.699 D_i_real: 0.930 D_i_fake: 0.784 D_v_real: 1.199 D_v_fake: 1.034 C_label: 2.548 
(epoch: 1, iters: 300, time: 0.257, data: 0.003) G_GAN: 2.410 G_L1: 56.544 D_i_real: 0.786 D_i_fake: 0.728 D_v_real: 1.014 D_v_fake: 0.875 C_label: 2.547 
(epoch: 1, iters: 400, time: 0.273, data: 0.006) G_GAN: 2.319 G_L1: 51.992 D_i_real: 0.762 D_i_fake: 0.730 D_v_real: 0.860 D_v_fake: 1.046 C_label: 2.546 
(epoch: 1, iters: 500, time: 0.256, data: 0.003) G_GAN: 2.203 G_L1: 51.850 D_i_real: 0.721 D_i_fake: 0.770 D_v_real: 0.817 D_v_fake: 0.792 C_label: 2.547 
(epoch: 1, iters: 600, time: 0.263, data: 0.003) G_GAN: 2.255 G_L1: 50.469 D_i_real: 0.708 D_i_fake: 0.737 D_v_real: 0.824 D_v_fake: 0.753 C_label: 2.548 
(epoch: 1, iters: 700, time: 0.257, data: 0.003) G_GAN: 2.108 G_L1: 48.607 D_i_real: 0.631 D_i_fake: 0.689 D_v_real: 0.730 D_v_fake: 0.668 C_label: 2.548 
(epoch: 1, iters: 800, time: 0.273, data: 0.003) G_GAN: 2.526 G_L1: 50.839 D_i_real: 0.793 D_i_fake: 0.651 D_v_real: 0.711 D_v_fake: 0.705 C_label: 2.545 
(epoch: 1, iters: 900, time: 0.258, data: 0.003) G_GAN: 2.051 G_L1: 48.844 D_i_real: 0.587 D_i_fake: 0.930 D_v_real: 0.685 D_v_fake: 0.655 C_label: 2.547 
(epoch: 1, iters: 1000, time: 0.255, data: 0.003) G_GAN: 1.978 G_L1: 43.338 D_i_real: 0.811 D_i_fake: 0.667 D_v_real: 0.677 D_v_fake: 0.661 C_label: 2.546 
(epoch: 2, iters: 100, time: 0.253, data: 0.697) G_GAN: 2.078 G_L1: 42.260 D_i_real: 0.578 D_i_fake: 0.692 D_v_real: 0.671 D_v_fake: 0.652 C_label: 2.547 
(epoch: 2, iters: 200, time: 0.270, data: 0.003) G_GAN: 2.237 G_L1: 45.203 D_i_real: 0.551 D_i_fake: 0.675 D_v_real: 0.658 D_v_fake: 0.644 C_label: 2.546 
(epoch: 2, iters: 300, time: 0.258, data: 0.003) G_GAN: 2.001 G_L1: 40.775 D_i_real: 0.635 D_i_fake: 0.653 D_v_real: 0.653 D_v_fake: 0.645 C_label: 2.548 
(epoch: 2, iters: 400, time: 0.252, data: 0.004) G_GAN: 2.275 G_L1: 39.375 D_i_real: 0.601 D_i_fake: 0.650 D_v_real: 0.649 D_v_fake: 0.645 C_label: 2.546 
(epoch: 2, iters: 500, time: 0.253, data: 0.003) G_GAN: 1.917 G_L1: 39.209 D_i_real: 0.693 D_i_fake: 0.646 D_v_real: 0.646 D_v_fake: 0.647 C_label: 2.543 
(epoch: 2, iters: 600, time: 0.270, data: 0.003) G_GAN: 1.897 G_L1: 35.816 D_i_real: 0.478 D_i_fake: 0.652 D_v_real: 0.674 D_v_fake: 0.644 C_label: 2.544 
(epoch: 2, iters: 700, time: 0.256, data: 0.004) G_GAN: 1.890 G_L1: 36.608 D_i_real: 0.549 D_i_fake: 0.659 D_v_real: 0.647 D_v_fake: 0.636 C_label: 2.544 
